station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
Silavattam Village,Unknown Operator,333/3A GST Road NH45 Ozhupakkam Silvattam Village,Madurathakam,Chengalpattu Dt,Tamil Nadu,603306.0,12.48148773352969,79.86252229584034,1,Unknown,,Operational,On request,https://www.evchargestation.in/ev-station/silavattam-village-madurathakam-chengalpattu-dt-tamil-nadu,verified (site page),Urban/City
Alwarpet - The Raintree,Zeon Charging,"120, St Marys Rd, Austin Nagar, Alwarpet, Chennai, 600018",Chennai,Chennai,Tamil Nadu,600018.0,13.0286874,80.2527991,1,CCS2 (DC),24 kW,Operational,,https://zeoncharging.com/ev-charging-alwarpet-the-raintree-zeon-charging-station-the-raintree-120-st-marys-rd-austin-nagar-alwarpet-chennai-tamil-nadu-60,verified (site page),Chennai (in-city)
Aminjikarai - Ampa Skyone,Zeon Charging,"1, Nelson Manickam Rd, Aminjikarai, Chennai, 600030",Chennai,Chennai,Tamil Nadu,600030.0,13.073330128759338,80.22158383757399,2,CCS2 (DC),180 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-aminjikarai-chennai-ampa-skyone-nelson-manickam-road-600030,verified (site page),Chennai (in-city)
Arumbakkam - Prestige Polygon,Zeon Charging,"23, Astha Nagar, Aminjikarai, Chennai, 600106",Chennai,Chennai,Tamil Nadu,600106.0,13.0678784,80.2193408,2,"16A (AC), Type 2 (AC)",3.3-7 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-arumbakkam-prestige-polygon-23-astha-nagar-aminjikarai-chennai-tamil-nadu-600106-india-600106,verified (site page),Chennai (in-city)
Arumbakkam - SAF Games Village,Zeon Charging,"206/N, 100 Feet Rd, SAF Games Village, Jai Nagar, Arumbakkam, Chennai, 600106",Chennai,Chennai,Tamil Nadu,600106.0,13.0669875,80.2082969,3,Type 2 (AC),7 kW,Operational,,https://zeoncharging.com/ev-charging-arumbakkam-saf-games-village-3685-q8v-chennai-tamil-nadu-india-600106,verified (site page),Chennai (in-city)
Chennai - Max Showroom (Mount Poonamallee Rd),Zeon Charging,"Mount Poonamallee Road, Chennai, 602002",Chennai,Chennai,Tamil Nadu,602002.0,13.02869030658088,80.17030310796932,1,CCS2 (DC),24 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-max-showroom-mount-poonamallee-road-602002,verified (site page),Chennai (in-city)
Chennai - Near Poonamallee Post Office,Zeon Charging,"Poonamallee, Chennai, 600056",Chennai,Chennai,Tamil Nadu,600056.0,13.0507375,80.1017344,2,CCS2 (DC),60 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-near-poonamalle-post-office-3422-7mx-chennai-tamil-nadu-india-600056,verified (site page),Chennai (in-city)
Chennai Airport - Domestic Parking (AEROHUB),Zeon Charging,"Ground Floor C03, Domestic Terminal, Airport Road, Chennai, 600016",Chennai,Chennai,Tamil Nadu,600016.0,12.9941,80.1709,1,,,Operational,,https://zeoncharging.com/ev-charging-aerohub-chennai-airport-domestic-parking-ground-floor-c-03-parking-fees-applicable-airport-road-600016,approximate (town-level),Chennai Airport (in-city)
Chennai Airport - International Parking (AEROHUB),Zeon Charging,"Ground Floor F8, International Terminal, Airport Road, Chennai, 600016",Chennai,Chennai,Tamil Nadu,600016.0,12.9925,80.1693,1,,,Operational,,https://zeoncharging.com/ev-charging-aerohub-chennai-airport-international-parking-ground-floor-f8-parking-fees-applicable-airport-road-600016,approximate (town-level),Chennai Airport (in-city)
Egmore - 125 Pantheon,Zeon Charging,"125 Pantheon Rd, Egmore, Chennai, 600002",Chennai,Chennai,Tamil Nadu,600002.0,13.0674375,80.2550625,1,CCS2 (DC),24 kW,Operational,,https://zeoncharging.com/ev-charging-egmore-125-pantheon-3784-x2-chennai-tamil-nadu-india-600002,verified (site page),Chennai (in-city)
